adr_inter,adresse,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,typ,kreis,standort,oeffnungsz,gebuehren,kommentar,geometry,latitude,longitude
,Heimplatz 6,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,6,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_Wickeltisch",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Heimplatz (rollstuhlgängig mit EuroKey),,7253,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8001,wcr009,,1,Heimplatz,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Heimplatz 6,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Heimplatz 6,,1,Heimplatz,"MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis",Multifunktions- und Behinderten WC.,POINT Z (2683854 1247215 0),47.3704483,8.5488504
,Bachwiesenstrasse 40,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,40,0_,";Geöffnet 24h,_Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis_Wickeltisch_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Bachwiesen (rollstuhlgängig mit Eurokey),,7292,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8047,wcr2895,,1,Bachwiesenstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Bachwiesenstrasse 40,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Bachwiesenstrasse 40,,9,"Gemeinschaftszentrum Bachwiesen, Bachwiesenstrasse 40","MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)",Multifunktions- und Behinderten WC.,POINT Z (2679103 1248206 0),47.3800428,8.4861121
,Bucheggstrasse 93,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,93,0_,";Gemeinschaftszentrum Buchegg._Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Buchegg GZ (rollstuhlgängig mit Eurokey),,7293,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8057,wcr2896,,1,Bucheggstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Bucheggstrasse 93,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Bucheggstrasse 93,,6,"Gemeinschaftszentrum Buchegg, Bucheggplatz","MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Damen- und Herren-WC gratis","Multifunktions- und Behinderten WC. Das GZ wurde 2013 umgebaut. Das neue WC steht nebst den WCs im GZ zur Verfügung, wenn dieses geschlossen ist.",POINT Z (2682770 1250369 0),47.3990019,8.5350515
,Albisstrasse 105,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,105,0_,;Geöffnet 24h._Behinderten- (Fr. 1.-- oder Eurokey) und Multifunktions-WC (gratis),1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Albisstrasse (rollstuhlgängig mit EuroKey),,7358,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8002,wcr023,,1,Albisstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Albisstrasse 105,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Albisstrasse 105,,2,Albisstrasse 105 / Endstation Wollishofen der VBZ Linie 7,24 h,"Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)",Multifunktions- und Behindeten WC.,POINT Z (2682499 1243616 0),47.3382236,8.5303938
,Uetlibergstrasse 343,,0,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,343,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Albisgütli (WC rollstuhlgängig mit EuroKey),,7359,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8045,wcr025,,1,Uetlibergstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Uetlibergstrasse 343,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Uetlibergstrasse 343,,3,Uetlibergstrasse 343 / Endstation VBZ-Züri Linie 13.,"MF-WC 24 h, Behinderten-WC mit Eurokey 24h, mit Gebühr Fr. 1.-- 06.00-22.00 Uhr","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis",Multifunktions- und Behinderten WC. Das Behinderten-WC ist schwellenfrei zugänglich.,POINT Z (2680731 1245145 0),47.3521713,8.5071629
,Zypressenstrasse 36,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,36,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Fritschiwiese (rollstuhlgängig mit EuroKey),,7360,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8003,wcr027,,1,Zypressenstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Zypressenstrasse 36,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Zypressenstrasse 36,,3,Zypressenstrasse 36,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis",2 Multifunktions-WCs und Behinderten WC im ehemaligen Gerätelokal. Wickeltisch vorhanden.,POINT Z (2681102 1247893 0),47.376866,8.5125918
,Wasserwerkstrasse 89,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,89,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 6-22 Uhr (im Winter 20h)_Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Lettenareal (rollstuhlgängig mit EuroKey),,7446,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8037,wcr102,,1,Wasserwerkstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Wasserwerkstrasse 89,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Wasserwerkstrasse 89,,10,Wasserwerkstrasse 89 / Im Brückenpfeiler der Kornhausbrücke,"24h, Behinderten-WC ohne Eurokey von 06.00-22.00 im Winter bis 20.00 Uhr.","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und  Behinderten-WC mit Eurokey, Wickeltisch.",POINT Z (2682737 1248998 0),47.3866139,8.5343847
,Badenerstrasse 230,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,230,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Lochergut (rollstuhlgängig mit EuroKey),,7464,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8004,wcr040,,1,Badenerstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Badenerstrasse 230,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Badenerstrasse 230,,4,Badenerstrasse 230,24h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten WC, Wickeltisch.",POINT Z (2681483 1247759 0),47.3756625,8.5176506
,Seilergraben 76,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,76,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Central (rollstuhlgängig mit Eurokey),,7490,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8001,wcr001,,1,Seilergraben,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Seilergraben 76,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Seilergraben 76,,1,Seilergraben 76 / Beim Aufgang zum Hirschengraben,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten-WC, Wickeltisch.",POINT Z (2683530 1247915 0),47.3767892,8.5447236
,Gessnerallee 17,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,17,0_,;Geöffnet während der Öffnungszeiten der Rio-Bar._Gebühr Fr. 1.-- oder Eurokey,1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Gessnerallee (rollstuhlgängig mit Eurokey),,7491,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8001,wcr007,,1,Gessnerallee,,+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Gessnerallee 17,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Gessnerallee 17,,1,"Gessnerallee 17 / Rio Bar, Gessnerbrücke",Während der Öffnungszeiten der Rio Bar,Gebühr Fr. 1.-- oder Eurokey,"Öffentlich zugängliches Behinderten WC in der Bar Rio, Wickeltisch. ",POINT Z (2682851 1247850 0),47.3763279,8.5357679
,Mythenquai 19,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,19,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Hafen Enge (rollstuhlgängig mit EuroKey),,7555,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8002,wcr017,,1,Mythenquai,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Mythenquai 19,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Mythenquai 19,,2,Mythenquai 19 / Beim Kiosk Hafen Enge,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","2 Multifunktions- und Behinderten WC, Wickeltisch.",POINT Z (2682863 1246178 0),47.3612748,8.5355666
,Bederstrasse 110,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,110,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Klopstockwiese (rollstuhlgängig mit EuroKey),,7556,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8002,wcr019,,1,Bederstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Bederstrasse 110,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Bederstrasse 110,,2,Bederstrasse 110 / Klopstockwiese,24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr.,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten WC, Wickeltisch.",POINT Z (2682079 1246176 0),47.3613459,8.5251694
,Witikonerstrasse 2,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,2,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Klusplatz (rollstuhlgängig mit EuroKey),,7609,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8032,wcr058,,1,Witikonerstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Witikonerstrasse 2,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Witikonerstrasse 2,,7,Witikonerstrasse 2 / Auf der Traminsel,24h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten WC, Wickeltisch. Direkt an der Haltestelle.",POINT Z (2685191 1246517 0),47.3639872,8.5663836
,Kreuzplatz 11,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,11,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Kreuzplatz (rollstuhlgängig mit EuroKey),,7610,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8032,wcr059,,1,Kreuzplatz,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Kreuzplatz 11,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Kreuzplatz 11,,7,Kreuzplatz 11 / Im Kioskgebäude,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","2 Multifunktions- und ein Behinderten WC, Wickeltisch. Die Anlage befindet sich im denkmalgeschützten Gebäude in Mitten des Kreuzplatzes.",POINT Z (2684261 1246611 0),47.3649781,8.5541269
,Seefeldstrasse 103,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,103,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Höschgasse - Seefeldstrasse (rollstuhlgängig mit Eurokey),,7624,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8008,wcr069,,1,Seefeldstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Seefeldstrasse 103,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Seefeldstrasse 103,,8,Seefeldstrasse beim GZ Riesbach,"24 h, Behinderten-WC 06-22 Uhr, mit EuroKey 24h",Gebührenfrei. Behinderten-WC Fr. 1.--. oder Eurokey.,"Multifunktions- und Behinderten WC, Wickeltisch.",POINT Z (2684250 1245903 0),47.3585907,8.5538628
,Schaffhauserstrasse 150,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,150,0_,";Geöffnet 24h, Gebühr Fr. 1.-- oder Eurokey",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Milchbuck (rollstuhlgängig mit EuroKey),,7640,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8057,wcr053,,1,Schaffhauserstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Schaffhauserstrasse 150,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Schaffhauserstrasse 150,,6,Schaffhauserstrasse 148 / Tramhaltestelle,24 h,Fr. 1.-- oder Eurokey,"Selbstreinigender WC Automat für Damen und Herren. Rollstuhlgängig mit automatischer Türe, Wikeltisch.",POINT Z (2683303 1250272 0),47.39726746437877,8.541550727756865
,Schaffhauserplatz 5,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,5,0_,";Geöffnet 24h, Gebühr Fr. 1.-- oder Eurokey",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Schaffhauserplatz (rollstuhlgängig mit EuroKey),,7641,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8006,wcr054,,1,Schaffhauserplatz,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Schaffhauserplatz 5,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Schaffhauserplatz 5,,6,Schaffhauserplatz 5 / Bei der Einmündung Seminarstrasse,24h,Fr. 1.-- oder Eurokey,"Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Türe, Wickeltisch.",POINT Z (2683035 1249576 0),47.391527369892,8.53838061376563
,Gloriastrasse 15a,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,15a,0_,";Geöffnet 24h._Behinderten-WC (Fr. 1.-- oder Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Platte (rollstuhlgängig mit EuroKey),,7642,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8006,wcr060,,1,Gloriastrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Gloriastrasse 15a,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Gloriastrasse 15a,,7,Gloriastrasse 15a,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis","Multifunktions- und Behinderten-WC, Wickeltisch. ",POINT Z (2684063 1247711 0),47.3748899,8.5517075
,Rütistrasse 1,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,1,0_,";Geöffnet 24h, Gebühr Fr. 1.-- oder Eurokey",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Römerhof (rollstuhlgängig mit EuroKey),,7643,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8032,wcr061,,1,Rütistrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Rütistrasse 1,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C R%C3%BCtistrasse 1,,7,Rütistrasse 1 / Ilgenstrasse,24 h,Fr. 1.-- oder Eurokey,"Selbstreinigender WC Automat für Damen- und Herren. Rollstuhlgängig mit automatischer Tür, Wickeltisch.",POINT Z (2684726 1247006 0),47.3684675,8.5603515
,Leutschenbachstrasse 71,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,71,0_,";Geöffnet 24h. Behinderten-WC ohne Eurokey von 06.00-22.00 Uhr._Behinderten-WC (nur mit Eurokey), Multifunktions-WC (gratis)_",1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Leutschenpark (rollstuhlgängig mit Eurokey),,7654,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8050,wcr088,,1,Leutschenbachstrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Leutschenbachstrasse 71,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Leutschenbachstrasse 71,,11,Leutschenbachstrasse 71 / Im Leutschenpark,24 h,"Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gratis",Multifunktions- und Behinderten WC. Behinderten WC nur mit Eurokey zugänglich.,POINT Z (2684375 1252506 0),47.4180468,8.5566489
,Bellerivestrasse 150,,,,,Umwelt- und Gesundheitsschutz,202001101126,,Gesundheits- und Umweltdepartement (GUD),ugzgfa,,,150,0_,;Zurzeit im Umbau. Es steht ein prov. Container zur Verfügung. Eröffnung der neuen Anlage Sommer 2015.,1,0,WC (rollstuhlgängig),ugz-zueriwc@zuerich.ch,Zürichhorn (rollstuhlgängig mit EuroKey),,7655,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Zürich,8008,wcr071,,1,Bellerivestrasse,"Toilette, Toiletten",+41 44 412 43 65,,https://www.stadt-zuerich.ch/gud/de/index/gesundheitsschutz/zueriwc.html,NULL;NULL;,NULL;NULL;,NULL;NULL;,Bellerivestrasse 150,https://online.fahrplan.zvv.ch/bin/query.exe/dn?L=vs_vbz&mobileframe&Z=Z%C3%BCrich%2C Bellerivestrasse 150,,8,Bellerivestrasse 150,"24h, März bis Oktober","Behinderten-WC Fr. 1.-- oder Eurokey, Multifunktions-WC gebührenfrei","3 Multifunktions- und ein Behinderten WC, Wickeltisch. Im Winter werden zwei MF-Kabinen geschlossen. ",POINT Z (2684162 1245409 0),47.3541653,8.5524864
